Unnamed: 0,Brand,Model,Year,VIN,Private Key,Public Key,Encrypted VIN,Hashed VIN,Proof
84ee24cc3d57d031a1e29dbf6c03865f23f748092b3e0d0fd6f80dfc583d014d4261b9057cd8abaab0d5b5fca93ee4a04999a387e081130d778635b03c4b241f0,toyota,cruiser,2008,jtezu11f88k007763,70a70e2a2af61f0496e909a7e741176a5ccf3913ecbbd96064af22ec163bd23e,bac60d5321fa8080b71e61e44716341c23bda654415a35ed54cde4be0785552f588ea3864da7fe976ab9b6b26dc17a5b31b0809af9fe3c136093073de6fd32a1,Z/B6I+MMzwlv+7YeDtVNDuS0LKvCMMxSRpK++ZbIP/o=,67f07a23e30ccf096ffbb61e0ed54d0ee4b42cabc230cc524692bef996c83ffa,8c2d71ad2c9450b2e523a2eb0a9fe49b9d75f20f87e7983ecf46f8c8c8bf9b11d1522cc73e391d45d779bb0cf7be4123c02b5322cfb59bd536b168546cb9cc91
1,ford,se,2011,2fmdk3gc4bbb02217,396f48ea8dd9b2f3f61f0d20d783c93b47bf8ca24b0352a1bd9b268542149361,,pt9QCmlQ/wJ6ewrG6STiCDexEuUMZxWuTgu3QZGFMQA=,a6df500a6950ff027a7b0ac6e924e20837b112e50c6715ae4e0bb74191853100,558f950b0a20a0627e7cf6fb77fb8cb2d772815fa6cca57be1555b18324a083781601fe0fcabd402eb35dedd77e9842a6fc28650b553a42e970bb77312cba216
2,dodge,mpv,2018,3c4pdcgg5jt346413,bd8153cba19964996b0efa47464051113dcaebf81f1cdb9c040da4e309330b16,619c3f6c3152f96ae479da11ebff247c04118659311e8e8e8b804f6a2f8fc5ecf147410996b95256fce09844fe3d8092f6d192196101a742b29e9b9bea305bb5,rF1heg/mrIgB9pOJkfCQz+7vrE6e/wd+pMKmTlX1sqQ=,ac5d617a0fe6ac8801f6938991f090cfeeefac4e9eff077ea4c2a64e55f5b2a4,fff433fda666d172fb97fca573cd585472622059246a25d9d4e3a54791090272d5d3337d121bc35c6c261d139aeb8ad4036bd639cd74d097b1d9ae287c7d6199
3,ford,door,2014,1ftfw1et4efc23745,75f0e373b181790067f7f99f01f44b7236b455ef6faf9222dc763912c6901f25,18d06767d7a43d9bd1eca107e356defe92ca52dfdd68a147268c195411adfa7205996b04cd020bedaec431c41dbf48c1c69af7e8e93bcf9196d8c8b39d97e501,Alqtnv77lBnlzgyxPlb/evhAJFec4iV93N7BU13Wuf0=,025aad9efefb9419e5ce0cb13e56ff7af84024579ce2257ddcdec1535dd6b9fd,10559895c7c794b209ef45c9c4dcc4da5d0358378844112d2457b02af03777178941fea1ed34d457b911beb74d1073b16e49c773029fefac98543053ee7beff5
4,chevrolet,1500,2018,3gcpcrec2jg473991,9b4f6ec020bc0e7d543e04f60ef007176bb7dfe43a6d5c42b973461400ac509f,42e99691e6f1b58ac81e2b0070169d0c10d9d2c0f7f710781a4cbf596b4cc18ee0b49616875bc967e9173d297b7fb0f9f1f96e25aaf8e94b758ea9710f0f2cb4,oWjkZgQpHUHDb9vbdhLC4R00IdkO86yq+UaHtoIfJg0=,a168e46604291d41c36fdbdb7612c2e11d3421d90ef3acaaf94687b6821f260d,20444856791b320ed204b230560cd46decb060222255e4cf2910abfa3535761ca912a58e5a2a98cd4887ce0f8dc5d7ac9a417fd27263ae7b6d73aa6d51fa9339
5,dodge,mpv,2018,2c4rdgeg9jr237989,bbadc29eb01d1ce05f53069b49201f7e53464e548b7284f3c821cb073835cb38,d90554d99ca74d682e4ee6805d7342ae5ea42df753a40e85cde21a96a7101e0bb156f1b3163fe807e1fc39c51b4a915d57b6032148c1fe3ca06f31ff8ecf7cfd,GKaBy6Uly+vnXw5PiS8nlZW0fgpzstz+sFhnZwPlR30=,18a681cba525cbebe75f0e4f892f279595b47e0a73b2dcfeb058676703e5477d,e50d1a918dcc548da636895936685cec2f19539cd009a5447826b9f3b2eb5228d240ba3fd8db88e13a91a9fae4a60f959d2d006f58c7df351ce61df197a48f5d
6,chevrolet,pk,2010,1gcsksea1az121133,d218897ab7fd41619225d46935854b5688224ac88ab074e1d9c4cb917f1d3cf6,7234cb5f5b361eb27e234b35e9b32d2e8948f7c3dd4c9ebe598215c7c0c2d959b8cc5e82553bed7a7516c4ab458f7e83814fbfb762c4c337ab34982f9a297914,gUB8yIKDr/a0SforBaeT1+9lJkQsdW22EVYIQf+ErjM=,81407cc88283aff6b449fa2b05a793d7ef6526442c756db611560841ff84ae33,2e1e935f79921abdde8b76e2a201ed9f891809271c76a07ccf34282070e6a375019aef6c26f9e85ba53eccf97d7cbe853d4c6d44e5cc07ec5d9a967886e0e65e
7,gmc,door,2017,1gks2gkc3hr326762,1089d22c36a8d3934c03a2cf7d3bd72a100995b2db88719f6f2522aeabb4c57d,8612480a5f56a535f734a33b662c6642f1690b80a6ae35d1fcaa63e20ca97e33b29a316df0e72e939a611e4db80f0750350ff24149dd3cb8f4fafde4edf85e62,bOhZdzxp5E3FgkliBi5GoK+Q6C22G/zWB1dVXT0IYNc=,6ce859773c69e44dc5824962062e46a0af90e82db61bfcd60757555d3d0860d7,9228fec68a6d000912322d01f0e26a7d441494673bfdfa0d7eaab7c80f3e7114fc687173c059d66c57561de3ca46f53b52913d2b01f278afe3486aec29d3b51a
8,chevrolet,malibu,2018,1g1zd5st5jf191860,360f4d54fb1b39fadf7e28e971cfa6cb0719cca4ae2f0d98b245d833b3df6ea0,3cd4abd50f6fd1f05aaaaac7fb8c4e492349e9b388b0cc3ae53dfbe607064847789eaeded8ea5cd8e2f3915014f5224291f84382cebb53105b2cd5288aa8b9e5,bBOpVygN6pUS/xsMKPQ2Kbi8dEyMTKzRldh4s2xF0iY=,6c13a957280dea9512ff1b0c28f43629b8bc744c8c4cacd195d878b36c45d226,f173784b2be5556aa45d9ea86d36890fed82deed22bb3e5bd2929e38af3e198c868ee2313028a09a210f52a834db3a0e493e7b51d32612e35f3c681533507b5c
9,ford,mpv,2017,2fmpk3j92hbc12542,c27eac59e51664370b5b5a2eb6c2ce2f61a7e611bb300f28fa6556c624e4049c,2ac52a175d93ba9e0e602ebae199156b1ab218574f6ffd40a4f6ed42a7b891ce28652b25d807d9f3d7aa59199990d57bb3cbad9b62171be8d3e501de8bcc13e5,0GYfRi1gwFVzU0XN3qLER8LZuGdtlHBYdWeOd2TWBEw=,d0661f462d60c055735345cddea2c447c2d9b8676d94705875678e7764d6044c,b7ed5446fddf809f87a1f41182054b7378bee31957babe8d31a2c2368740a104c2d4253a46c1e2ac5a98def69e68462da83d84b6443226d8c005248df271e304
